line_no,chunk_id,direction,bytes,rms,event_note
349,2175,client,3200,0.0238,
350,2200,gemini,3200,0.0013,
351,2300,gemini,3200,0.0012,
352,2400,gemini,3200,0.0008,
353,2484,client,3200,0.0225,
354,2500,gemini,3200,0.0019,
355,2586,client,3200,0.0281,
356,2600,gemini,3200,0.001,
357,2609,client,3200,0.0226,
358,2613,client,3200,0.0215,
359,2700,gemini,3200,0.0023,
360,2734,client,3200,0.0237,
361,2777,client,3200,0.0242,
362,2778,client,3200,0.026,
363,2800,gemini,3200,0.0015,
364,2849,client,3200,0.0246,
365,2900,gemini,3200,0.0022,
366,3000,gemini,3200,0.001,
367,3100,gemini,3200,0.0015,
368,3119,client,3200,0.0346,
369,3131,client,3200,0.0251,
370,3200,gemini,3200,0.0016,
371,3300,gemini,3200,0.005,
372,3301,client,3200,0.0258,
373,3320,client,3200,0.0215,
374,3348,client,3200,0.0843,rms_spike
375,3349,client,3200,0.0263,
376,3355,client,3200,0.0294,
377,3368,client,3200,0.021,
378,3371,client,3200,0.0472,
379,3392,client,3200,0.0276,
380,3393,client,3200,0.0773,
381,3394,client,3200,0.0628,
382,3395,client,3200,0.0406,
383,3396,client,3200,0.0295,
384,3397,client,3200,0.025,
385,3400,gemini,3200,0.0008,
386,,asr,,,transcript_partial:No.
387,100,model_out,,,suppress chunks=1 total=100 mode=suppress
388,,asr,,,FINAL_MISSING reason=suppressed_audio text=No.
389,,gov,,,gov raw=ACK_ONLY eff=ACK_ONLY steer=engine llm=False play=True
390,,gemini,,,interrupted_flag keep_playback
391,,gate,,,gate_hold seen=True
392,230,model_out,9600,,forward mode=engine
393,3420,client,3200,0.029,
394,3500,gemini,3200,0.0022,
395,3578,client,3200,0.0868,rms_spike
396,3579,client,3200,0.0272,
397,3580,client,3200,0.0333,
398,3600,gemini,3200,0.0011,
399,3604,client,3200,0.03,
400,3605,client,3200,0.0898,rms_spike
401,3606,client,3200,0.0787,
402,3607,client,3200,0.063,
403,3608,client,3200,0.0549,
404,3609,client,3200,0.0716,
405,3610,client,3200,0.0532,
406,3612,client,3200,0.0371,
407,3613,client,3200,0.0295,
408,3614,client,3200,0.0295,
409,,asr,,,transcript_partial:Gimana masa depan AI?
410,,asr,,,FINAL_MISSING reason=suppressed_audio text=Gimana masa depan AI?
411,,gov,,,gov raw=RESPOND eff=RESPOND steer=engine llm=False play=True
412,240,model_out,9600,,forward mode=engine
